2160,255
2220,255
2160,255
2160,255
2220,255
2280,255
2220,255
2280,255
2220,255
2220,255
2220,255
2220,255
2280,255
2220,255
2280,255
2220,255
2220,255
2280,255
2220,255
2220,255
2220,255
2280,255
2160,255
2220,255
2220,255
2160,255
2220,255
2160,255
2220,255
2160,255
2040,255
2160,255
2100,255
2100,255
2160,255
2220,255
2040,255
2100,255
2040,255
2100,255
2100,255
2040,255
2100,255
2040,255
1980,255
1980,255
2040,255
1980,255
1920,255
2040,255
2040,255
2100,255
2040,255
2100,255
2100,255
2100,255
2100,255
2040,255
2100,255
2100,255
2040,255
2040,255
2040,255
2040,255
2040,255
2040,255
2040,255
2040,255
2100,255
2040,255
1980,255
2040,255
1980,255
1980,255
2040,255
2100,255
2040,255
2100,255
2100,255
2100,255
2100,255
2160,255
2040,255
2040,255
2100,255
2040,255
2040,255
2100,255
2100,255
2040,255
2100,255
2100,255
2040,255
2040,255
2040,255
2040,255
2040,255
1980,255
1860,255
1920,255
1860,255
1920,255
2040,255
1980,255
1920,255
1980,255
1920,255
1980,255
1920,255
1920,255
2040,255
1980,255
1920,255
1980,255
1980,255
2100,255
2100,255
2100,255
2160,255
2040,255
2100,255
2160,255
2040,255
2100,255
2040,255
2040,255
2100,255
1980,255
2040,255
2100,255
2040,255
2040,255
1980,255
2040,255
2040,255
2040,255
2040,255
2040,255
1980,255
2040,255
1980,255
2040,255
1920,255
1980,255
1980,255
2040,255
2040,255
2100,255
2040,255
1980,255
1980,255
1980,255
2100,255
2040,255
1800,255
1860,255
1860,255
1680,255
1560,255
1440,255
1500,255
1560,255
1380,255
1500,255
1260,255
1260,255
1320,255
1080,255
1080,255
1020,255
840,255
720,255
960,255
1320,255
1080,255
960,255
960,255
1200,255
1140,255
900,255
840,255
900,255
900,255
960,255
960,255
840,255
840,255
720,255
840,255
780,255
780,255
780,255
720,255
780,255
1200,255
960,255
720,255
660,255
1200,255
1980,255
2040,255
2040,255
1980,255
1920,255
1380,255
1260,255
1860,255
1860,255
1560,255
960,255
900,255
1200,255
960,255
660,255
540,255
540,255
480,255
420,255
420,255
600,255
900,255
720,255
780,255
780,255
1140,255
1140,255
780,255
720,255
600,255
720,255
660,255
720,255
