34.25,34.44,255,255
34.25,34.44,255,255
34.25,34.44,255,255
34.25,34.44,255,255
34.25,34.44,255,255
34.25,34.38,255,255
34.19,34.44,255,255
34.19,34.38,255,255
34.19,34.31,255,255
34.13,34.31,255,255
34.13,34.31,255,255
34.06,34.31,255,255
34.13,34.31,255,255
34.06,34.31,255,255
34.13,34.38,255,255
34.13,34.38,255,255
34.13,34.38,255,255
34.13,34.38,255,255
34.13,34.38,255,255
34.13,34.44,255,255
34.13,34.44,255,255
34.13,34.44,255,255
34.19,34.44,255,255
34.13,34.44,255,255
34.19,34.44,255,255
34.19,34.44,255,255
34.19,34.44,255,255
34.19,34.44,255,255
34.19,34.50,255,255
34.19,34.50,255,255
34.25,34.50,255,255
34.19,34.56,255,255
34.19,34.56,255,255
34.25,34.63,255,255
34.25,34.63,255,255
34.25,34.63,255,255
34.31,34.69,255,255
34.25,34.63,255,255
34.25,34.63,255,255
34.31,34.63,255,255
34.25,34.63,255,255
34.19,34.63,255,255
34.25,34.69,255,255
34.25,34.69,255,255
34.25,34.69,255,255
34.25,34.69,255,255
34.25,34.69,255,255
34.25,34.75,255,255
34.31,34.81,255,255
34.31,34.75,255,255
34.31,34.81,255,255
34.31,34.81,255,255
34.38,34.88,255,255
34.38,34.88,255,255
34.31,34.88,255,255
34.31,34.88,255,255
34.38,34.94,255,255
34.38,34.94,255,255
34.44,34.94,255,255
34.44,35.00,255,255
34.44,35.00,255,255
34.44,35.06,255,255
34.44,35.06,255,255
34.44,35.06,255,255
34.50,35.06,255,255
34.50,35.06,255,255
34.56,35.06,255,255
34.56,35.06,255,255
34.63,35.13,255,255
34.63,35.13,255,255
34.63,35.19,255,255
34.63,35.19,255,255
34.63,35.13,255,255
34.63,35.19,255,255
34.69,35.19,255,255
34.69,35.19,255,255
34.63,35.19,255,255
34.69,35.25,255,255
34.69,35.25,255,255
34.69,35.19,255,255
34.69,35.25,255,255
34.69,35.25,255,255
34.75,35.25,255,255
34.75,35.31,255,255
34.75,35.31,255,255
34.75,35.31,255,255
34.75,35.31,255,255
34.81,35.38,255,255
34.81,35.31,255,255
34.81,35.38,255,255
34.75,35.38,255,255
34.81,35.38,255,255
34.81,35.38,255,255
34.81,35.38,255,255
34.81,35.44,255,255
34.81,35.38,255,255
